"sig","target","plat","mode","cindex","n"
"CorePAM","SCANB","rnaseq","intra",0.6966,2969
"CorePAM","SCANB","rnaseq","frozen_within",0.6869,2969
"CorePAM","TCGA_BRCA","rnaseq","intra",0.6238,1072
"CorePAM","TCGA_BRCA","rnaseq","frozen_within",0.6241,1072
"CorePAM","TCGA_BRCA","rnaseq","frozen_cross",0.6241,1072
"CorePAM","METABRIC","array","intra",0.5927,1979
"CorePAM","METABRIC","array","frozen_within",0.5977,1979
"CorePAM","METABRIC","array","frozen_cross",0.5937,1979
"CorePAM","GSE20685","array","intra",0.6263,327
"CorePAM","GSE20685","array","frozen_within",0.5699,327
"CorePAM","GSE20685","array","frozen_cross",0.5906,327
"CorePAM","GSE1456","array","intra",0.6613,159
"CorePAM","GSE1456","array","frozen_within",0.6232,159
"CorePAM","GSE1456","array","frozen_cross",0.6223,159
"OncotypeDX","SCANB","rnaseq","intra",0.5671,2969
"OncotypeDX","SCANB","rnaseq","frozen_within",0.5664,2969
"OncotypeDX","TCGA_BRCA","rnaseq","intra",0.5436,1072
"OncotypeDX","TCGA_BRCA","rnaseq","frozen_within",0.5391,1072
"OncotypeDX","TCGA_BRCA","rnaseq","frozen_cross",0.5391,1072
"OncotypeDX","METABRIC","array","intra",0.5834,1979
"OncotypeDX","METABRIC","array","frozen_within",0.5867,1979
"OncotypeDX","METABRIC","array","frozen_cross",0.5841,1979
"OncotypeDX","GSE20685","array","intra",0.6293,327
"OncotypeDX","GSE20685","array","frozen_within",0.6189,327
"OncotypeDX","GSE20685","array","frozen_cross",0.6269,327
"OncotypeDX","GSE1456","array","intra",0.6898,159
"OncotypeDX","GSE1456","array","frozen_within",0.6844,159
"OncotypeDX","GSE1456","array","frozen_cross",0.6905,159
"GGI","SCANB","rnaseq","intra",0.6097,2969
"GGI","SCANB","rnaseq","frozen_within",0.6093,2969
"GGI","TCGA_BRCA","rnaseq","intra",0.5647,1072
"GGI","TCGA_BRCA","rnaseq","frozen_within",0.565,1072
"GGI","TCGA_BRCA","rnaseq","frozen_cross",0.565,1072
"GGI","METABRIC","array","intra",0.5942,1979
"GGI","METABRIC","array","frozen_within",0.5941,1979
"GGI","METABRIC","array","frozen_cross",0.5948,1979
"GGI","GSE20685","array","intra",0.6144,327
"GGI","GSE20685","array","frozen_within",0.6099,327
"GGI","GSE20685","array","frozen_cross",0.6156,327
"GGI","GSE1456","array","intra",0.6706,159
"GGI","GSE1456","array","frozen_within",0.6697,159
"GGI","GSE1456","array","frozen_cross",0.6704,159
"MammaPrint","SCANB","rnaseq","intra",0.6238,2969
"MammaPrint","SCANB","rnaseq","frozen_within",0.6263,2969
"MammaPrint","TCGA_BRCA","rnaseq","intra",0.584,1072
"MammaPrint","TCGA_BRCA","rnaseq","frozen_within",0.5842,1072
"MammaPrint","TCGA_BRCA","rnaseq","frozen_cross",0.5842,1072
"MammaPrint","METABRIC","array","intra",0.5898,1979
"MammaPrint","METABRIC","array","frozen_within",0.5902,1979
"MammaPrint","METABRIC","array","frozen_cross",0.5895,1979
"MammaPrint","GSE20685","array","intra",0.6353,327
"MammaPrint","GSE20685","array","frozen_within",0.6243,327
"MammaPrint","GSE20685","array","frozen_cross",0.6381,327
"MammaPrint","GSE1456","array","intra",0.6738,159
"MammaPrint","GSE1456","array","frozen_within",0.6753,159
"MammaPrint","GSE1456","array","frozen_cross",0.6669,159
