"cohort","sig","loss","n_genes","n_removed","frac_retained","cindex","drift"
"SCANB","CorePAM","full",24,0,1,0.6966,0
"SCANB","CorePAM","weight",24,1,0.958,0.6853,0.0113
"SCANB","CorePAM","lowexpr",24,1,0.958,0.6853,0.0113
"SCANB","CorePAM","random",24,1,0.958,0.6935,0.0031
"SCANB","CorePAM","weight",24,2,0.917,0.6699,0.0267
"SCANB","CorePAM","lowexpr",24,2,0.917,0.6851,0.0115
"SCANB","CorePAM","random",24,2,0.917,0.6918,0.0048
"SCANB","CorePAM","weight",24,3,0.875,0.6482,0.0484
"SCANB","CorePAM","lowexpr",24,3,0.875,0.6812,0.0154
"SCANB","CorePAM","random",24,3,0.875,0.6868,0.0098
"SCANB","CorePAM","weight",24,4,0.833,0.662,0.0346
"SCANB","CorePAM","lowexpr",24,4,0.833,0.6806,0.016
"SCANB","CorePAM","random",24,4,0.833,0.6852,0.0114
"SCANB","CorePAM","weight",24,5,0.792,0.6728,0.0238
"SCANB","CorePAM","lowexpr",24,5,0.792,0.6791,0.0175
"SCANB","CorePAM","random",24,5,0.792,0.6872,0.0095
"SCANB","CorePAM","weight",24,6,0.75,0.6647,0.0319
"SCANB","CorePAM","lowexpr",24,6,0.75,0.6714,0.0252
"SCANB","CorePAM","random",24,6,0.75,0.6802,0.0164
"SCANB","CorePAM","weight",24,7,0.708,0.6582,0.0384
"SCANB","CorePAM","lowexpr",24,7,0.708,0.6701,0.0265
"SCANB","CorePAM","random",24,7,0.708,0.675,0.0216
"SCANB","CorePAM","weight",24,8,0.667,0.6633,0.0333
"SCANB","CorePAM","lowexpr",24,8,0.667,0.6709,0.0257
"SCANB","CorePAM","random",24,8,0.667,0.6715,0.0251
"SCANB","CorePAM","weight",24,9,0.625,0.6384,0.0582
"SCANB","CorePAM","lowexpr",24,9,0.625,0.6699,0.0267
"SCANB","CorePAM","random",24,9,0.625,0.6578,0.0388
"SCANB","CorePAM","weight",24,10,0.583,0.6389,0.0577
"SCANB","CorePAM","lowexpr",24,10,0.583,0.6697,0.0269
"SCANB","CorePAM","random",24,10,0.583,0.6542,0.0424
"SCANB","CorePAM","weight",24,11,0.542,0.5958,0.1008
"SCANB","CorePAM","lowexpr",24,11,0.542,0.6592,0.0374
"SCANB","CorePAM","random",24,11,0.542,0.66,0.0366
"SCANB","CorePAM","weight",24,12,0.5,0.5352,0.1614
"SCANB","CorePAM","lowexpr",24,12,0.5,0.6469,0.0497
"SCANB","CorePAM","random",24,12,0.5,0.6377,0.0589
"SCANB","CorePAM","weight",24,13,0.458,0.5397,0.1569
"SCANB","CorePAM","lowexpr",24,13,0.458,0.6455,0.0511
"SCANB","CorePAM","random",24,13,0.458,0.6371,0.0595
"SCANB","CorePAM","weight",24,14,0.417,0.615,0.0816
"SCANB","CorePAM","lowexpr",24,14,0.417,0.6409,0.0557
"SCANB","CorePAM","random",24,14,0.417,0.635,0.0617
"SCANB","CorePAM","weight",24,15,0.375,0.6319,0.0647
"SCANB","CorePAM","lowexpr",24,15,0.375,0.6385,0.0581
"SCANB","CorePAM","random",24,15,0.375,0.6318,0.0648
"SCANB","CorePAM","weight",24,16,0.333,0.6461,0.0505
"SCANB","CorePAM","lowexpr",24,16,0.333,0.6329,0.0637
"SCANB","CorePAM","random",24,16,0.333,0.637,0.0596
"SCANB","CorePAM","weight",24,17,0.292,0.6439,0.0527
"SCANB","CorePAM","lowexpr",24,17,0.292,0.6298,0.0668
"SCANB","CorePAM","random",24,17,0.292,0.6144,0.0822
"SCANB","CorePAM","weight",24,18,0.25,0.6192,0.0774
"SCANB","CorePAM","lowexpr",24,18,0.25,0.5444,0.1522
"SCANB","CorePAM","random",24,18,0.25,0.6047,0.0919
"SCANB","CorePAM","weight",24,19,0.208,0.602,0.0946
"SCANB","CorePAM","lowexpr",24,19,0.208,0.5435,0.1531
"SCANB","CorePAM","random",24,19,0.208,0.6058,0.0908
"SCANB","CorePAM","weight",24,20,0.167,0.596,0.1006
"SCANB","CorePAM","lowexpr",24,20,0.167,0.5497,0.1469
"SCANB","CorePAM","random",24,20,0.167,0.5968,0.0998
"SCANB","CorePAM","weight",24,21,0.125,0.5836,0.113
"SCANB","CorePAM","lowexpr",24,21,0.125,0.5441,0.1525
"SCANB","CorePAM","random",24,21,0.125,0.5707,0.1259
"SCANB","OncotypeDX","full",15,0,1,0.5671,0
"SCANB","OncotypeDX","weight",15,1,0.933,0.5759,-0.0088
"SCANB","OncotypeDX","lowexpr",15,1,0.933,0.5655,0.0016
"SCANB","OncotypeDX","random",15,1,0.933,0.5664,7e-04
"SCANB","OncotypeDX","weight",15,2,0.867,0.5673,-2e-04
"SCANB","OncotypeDX","lowexpr",15,2,0.867,0.5555,0.0116
"SCANB","OncotypeDX","random",15,2,0.867,0.5624,0.0047
"SCANB","OncotypeDX","weight",15,3,0.8,0.5535,0.0136
"SCANB","OncotypeDX","lowexpr",15,3,0.8,0.567,1e-04
"SCANB","OncotypeDX","random",15,3,0.8,0.5609,0.0062
"SCANB","OncotypeDX","weight",15,4,0.733,0.5181,0.0491
"SCANB","OncotypeDX","lowexpr",15,4,0.733,0.5565,0.0106
"SCANB","OncotypeDX","random",15,4,0.733,0.5663,8e-04
"SCANB","OncotypeDX","weight",15,5,0.667,0.4502,0.1169
"SCANB","OncotypeDX","lowexpr",15,5,0.667,0.5397,0.0274
"SCANB","OncotypeDX","random",15,5,0.667,0.5636,0.0035
"SCANB","OncotypeDX","weight",15,6,0.6,0.4075,0.1596
"SCANB","OncotypeDX","lowexpr",15,6,0.6,0.4969,0.0702
"SCANB","OncotypeDX","random",15,6,0.6,0.5537,0.0134
"SCANB","OncotypeDX","weight",15,7,0.533,0.4245,0.1426
"SCANB","OncotypeDX","lowexpr",15,7,0.533,0.4957,0.0714
"SCANB","OncotypeDX","random",15,7,0.533,0.5382,0.0289
"SCANB","OncotypeDX","weight",15,8,0.467,0.457,0.1101
"SCANB","OncotypeDX","lowexpr",15,8,0.467,0.5308,0.0363
"SCANB","OncotypeDX","random",15,8,0.467,0.5694,-0.0023
"SCANB","OncotypeDX","weight",15,9,0.4,0.5145,0.0526
"SCANB","OncotypeDX","lowexpr",15,9,0.4,0.4475,0.1196
"SCANB","OncotypeDX","random",15,9,0.4,0.5538,0.0133
"SCANB","OncotypeDX","weight",15,10,0.333,0.4998,0.0673
"SCANB","OncotypeDX","lowexpr",15,10,0.333,0.4287,0.1384
"SCANB","OncotypeDX","random",15,10,0.333,0.5429,0.0243
"SCANB","OncotypeDX","weight",15,11,0.267,0.4733,0.0938
"SCANB","OncotypeDX","lowexpr",15,11,0.267,0.4733,0.0938
"SCANB","OncotypeDX","random",15,11,0.267,0.5216,0.0455
"SCANB","OncotypeDX","weight",15,12,0.2,0.5305,0.0366
"SCANB","OncotypeDX","lowexpr",15,12,0.2,0.5305,0.0366
"SCANB","OncotypeDX","random",15,12,0.2,0.5425,0.0246
"SCANB","GGI","full",85,0,1,0.6097,0
"SCANB","GGI","weight",85,1,0.988,0.61,-3e-04
"SCANB","GGI","lowexpr",85,1,0.988,0.61,-3e-04
"SCANB","GGI","random",85,1,0.988,0.6096,1e-04
"SCANB","GGI","weight",85,2,0.976,0.6093,4e-04
"SCANB","GGI","lowexpr",85,2,0.976,0.6099,-2e-04
"SCANB","GGI","random",85,2,0.976,0.6097,0
"SCANB","GGI","weight",85,3,0.965,0.6091,6e-04
"SCANB","GGI","lowexpr",85,3,0.965,0.6099,-2e-04
"SCANB","GGI","random",85,3,0.965,0.6098,-1e-04
"SCANB","GGI","weight",85,4,0.953,0.6094,3e-04
"SCANB","GGI","lowexpr",85,4,0.953,0.6098,-1e-04
"SCANB","GGI","random",85,4,0.953,0.6097,0
"SCANB","GGI","weight",85,5,0.941,0.6094,3e-04
"SCANB","GGI","lowexpr",85,5,0.941,0.6102,-5e-04
"SCANB","GGI","random",85,5,0.941,0.6096,1e-04
"SCANB","GGI","weight",85,6,0.929,0.6093,4e-04
"SCANB","GGI","lowexpr",85,6,0.929,0.6105,-8e-04
"SCANB","GGI","random",85,6,0.929,0.6094,3e-04
"SCANB","GGI","weight",85,7,0.918,0.6094,3e-04
"SCANB","GGI","lowexpr",85,7,0.918,0.6108,-0.0011
"SCANB","GGI","random",85,7,0.918,0.6095,2e-04
"SCANB","GGI","weight",85,8,0.906,0.6094,3e-04
"SCANB","GGI","lowexpr",85,8,0.906,0.611,-0.0013
"SCANB","GGI","random",85,8,0.906,0.6097,0
