"cohort","sig","loss","n_genes","c_full","max_removivel","frac_tolerada"
"SCANB","CorePAM","weight",24,0.6966,1,0.042
"SCANB","CorePAM","lowexpr",24,0.6966,5,0.208
"SCANB","CorePAM","random",24,0.6966,6,0.25
"SCANB","OncotypeDX","weight",15,0.5671,3,0.2
"SCANB","OncotypeDX","lowexpr",15,0.5671,4,0.267
"SCANB","OncotypeDX","random",15,0.5671,6,0.4
"SCANB","GGI","weight",85,0.6097,82,0.965
"SCANB","GGI","lowexpr",85,0.6097,82,0.965
"SCANB","GGI","random",85,0.6097,82,0.965
"SCANB","MammaPrint","weight",39,0.6238,27,0.692
"SCANB","MammaPrint","lowexpr",39,0.6238,34,0.872
"SCANB","MammaPrint","random",39,0.6238,32,0.821
"TCGA_BRCA","CorePAM","weight",23,0.6238,7,0.304
"TCGA_BRCA","CorePAM","lowexpr",23,0.6238,4,0.174
"TCGA_BRCA","CorePAM","random",23,0.6238,7,0.304
"TCGA_BRCA","OncotypeDX","weight",13,0.5436,3,0.231
"TCGA_BRCA","OncotypeDX","lowexpr",13,0.5436,5,0.385
"TCGA_BRCA","OncotypeDX","random",13,0.5436,8,0.615
"TCGA_BRCA","GGI","weight",82,0.5647,79,0.963
"TCGA_BRCA","GGI","lowexpr",82,0.5647,79,0.963
"TCGA_BRCA","GGI","random",82,0.5647,79,0.963
"TCGA_BRCA","MammaPrint","weight",36,0.584,22,0.611
"TCGA_BRCA","MammaPrint","lowexpr",36,0.584,31,0.861
"TCGA_BRCA","MammaPrint","random",36,0.584,31,0.861
"METABRIC","CorePAM","weight",24,0.5927,1,0.042
"METABRIC","CorePAM","lowexpr",24,0.5927,15,0.625
"METABRIC","CorePAM","random",24,0.5927,9,0.375
"METABRIC","OncotypeDX","weight",15,0.5834,1,0.067
"METABRIC","OncotypeDX","lowexpr",15,0.5834,7,0.467
"METABRIC","OncotypeDX","random",15,0.5834,6,0.4
"METABRIC","GGI","weight",85,0.5942,78,0.918
"METABRIC","GGI","lowexpr",85,0.5942,82,0.965
"METABRIC","GGI","random",85,0.5942,82,0.965
"METABRIC","MammaPrint","weight",39,0.5898,36,0.923
"METABRIC","MammaPrint","lowexpr",39,0.5898,32,0.821
"METABRIC","MammaPrint","random",39,0.5898,33,0.846
"GSE20685","CorePAM","weight",24,0.6263,1,0.042
"GSE20685","CorePAM","lowexpr",24,0.6263,7,0.292
"GSE20685","CorePAM","random",24,0.6263,7,0.292
"GSE20685","OncotypeDX","weight",15,0.6293,0,0
"GSE20685","OncotypeDX","lowexpr",15,0.6293,9,0.6
"GSE20685","OncotypeDX","random",15,0.6293,6,0.4
"GSE20685","GGI","weight",85,0.6144,75,0.882
"GSE20685","GGI","lowexpr",85,0.6144,76,0.894
"GSE20685","GGI","random",85,0.6144,82,0.965
"GSE20685","MammaPrint","weight",39,0.6353,17,0.436
"GSE20685","MammaPrint","lowexpr",39,0.6353,25,0.641
"GSE20685","MammaPrint","random",39,0.6353,24,0.615
"GSE1456","CorePAM","weight",21,0.6613,0,0
"GSE1456","CorePAM","lowexpr",21,0.6613,17,0.81
"GSE1456","CorePAM","random",21,0.6613,3,0.143
"GSE1456","OncotypeDX","weight",15,0.6898,0,0
"GSE1456","OncotypeDX","lowexpr",15,0.6898,7,0.467
"GSE1456","OncotypeDX","random",15,0.6898,5,0.333
"GSE1456","GGI","weight",89,0.6706,69,0.775
"GSE1456","GGI","lowexpr",89,0.6706,86,0.966
"GSE1456","GGI","random",89,0.6706,84,0.944
"GSE1456","MammaPrint","weight",37,0.6738,34,0.919
"GSE1456","MammaPrint","lowexpr",37,0.6738,21,0.568
"GSE1456","MammaPrint","random",37,0.6738,20,0.541
