"cohort","sig","n_genes","env_abs","boot_med","boot_lo","boot_hi","boot_lo_frac","boot_hi_frac","n_boot"
"SCANB","CorePAM",24,1,1,0,2,0,0.0833,100
"SCANB","OncotypeDX",15,3,3,2,3,0.1333,0.2,100
"SCANB","GGI",85,82,82,77.475,82,0.9115,0.9647,100
"SCANB","MammaPrint",39,27,27,17.475,36,0.4481,0.9231,100
"TCGA_BRCA","CorePAM",23,7,4,0,16,0,0.6957,100
"TCGA_BRCA","OncotypeDX",13,3,3,0,10,0,0.7692,100
"TCGA_BRCA","GGI",82,79,79,58.95,79,0.7189,0.9634,100
"TCGA_BRCA","MammaPrint",36,22,25.5,14.475,33,0.4021,0.9167,100
"METABRIC","CorePAM",24,1,1,0,6,0,0.25,100
"METABRIC","OncotypeDX",15,1,1,0,2,0,0.1333,100
"METABRIC","GGI",85,78,78,72,82,0.8471,0.9647,100
"METABRIC","MammaPrint",39,36,36,36,36,0.9231,0.9231,100
"GSE20685","CorePAM",24,1,1,0,1,0,0.0417,100
"GSE20685","OncotypeDX",15,0,0,0,3.52499999999999,0,0.235,100
"GSE20685","GGI",85,75,75,66.425,82,0.7815,0.9647,100
"GSE20685","MammaPrint",39,17,17,15,26.525,0.3846,0.6801,100
"GSE1456","CorePAM",21,0,0,0,1,0,0.0476,100
"GSE1456","OncotypeDX",15,0,0,0,4,0,0.2667,100
"GSE1456","GGI",89,69,69,53.475,78.1,0.6008,0.8775,100
"GSE1456","MammaPrint",37,34,34,3,34,0.0811,0.9189,100
