"cohort","sig","n_genes","n_genes_nominal","c_full","env_abs","env_frac","gini","n_eff"
"SCANB","CorePAM",24,24,0.6966,1,0.0417,0.4791,13.57
"SCANB","OncotypeDX",15,16,0.5671,3,0.2,0.3566,9.95
"SCANB","GGI",85,99,0.6097,82,0.9647,0,85
"SCANB","MammaPrint",39,51,0.6238,27,0.6923,0.0344,38.77
"TCGA_BRCA","CorePAM",23,24,0.6238,7,0.3043,0.4925,12.58
"TCGA_BRCA","OncotypeDX",13,16,0.5436,3,0.2308,0.3428,8.94
"TCGA_BRCA","GGI",82,99,0.5647,79,0.9634,0,82
"TCGA_BRCA","MammaPrint",36,51,0.584,22,0.6111,0.0331,35.79
"METABRIC","CorePAM",24,24,0.5927,1,0.0417,0.4791,13.57
"METABRIC","OncotypeDX",15,16,0.5834,1,0.0667,0.3566,9.95
"METABRIC","GGI",85,99,0.5942,78,0.9176,0,85
"METABRIC","MammaPrint",39,51,0.5898,36,0.9231,0.0344,38.77
"GSE20685","CorePAM",24,24,0.6263,1,0.0417,0.4791,13.57
"GSE20685","OncotypeDX",15,16,0.6293,0,0,0.3566,9.95
"GSE20685","GGI",85,99,0.6144,75,0.8824,0,85
"GSE20685","MammaPrint",39,51,0.6353,17,0.4359,0.0344,38.77
"GSE1456","CorePAM",21,24,0.6613,0,0,0.4736,12.11
"GSE1456","OncotypeDX",15,16,0.6898,0,0,0.3566,9.95
"GSE1456","GGI",89,99,0.6706,69,0.7753,0,89
"GSE1456","MammaPrint",37,51,0.6738,34,0.9189,0.0355,36.77
