"cohort","sig","n_full","n_matched","env_abs_full","env_abs_matched_med","env_abs_matched_lo","env_abs_matched_hi","env_frac_matched_med","c_full_matched_med","n_draws"
"SCANB","CorePAM",24,15,1,1,0,3.1,0.0667,0.6706,30
"SCANB","GGI",85,15,82,12,11.9,12,0.8,0.6097,30
"SCANB","MammaPrint",39,15,27,9,5,11.1,0.6,0.6212,30
"TCGA_BRCA","CorePAM",23,15,7,2.5,0,7,0.1667,0.6029,30
"TCGA_BRCA","GGI",82,15,79,12,11.9,12,0.8,0.565,30
"TCGA_BRCA","MammaPrint",36,15,22,8,6,12,0.5333,0.5723,30
"METABRIC","CorePAM",24,15,1,1,0,4,0.0667,0.5811,30
"METABRIC","GGI",85,15,78,12,10,12,0.8,0.592,30
"METABRIC","MammaPrint",39,15,36,12,11,12,0.8,0.5812,30
"GSE20685","CorePAM",24,15,1,1,0,2.2,0.0667,0.6235,30
"GSE20685","GGI",85,15,75,12,7.9,12,0.8,0.613,30
"GSE20685","MammaPrint",39,15,17,7,5,12,0.4667,0.623,30
"GSE1456","CorePAM",21,15,0,0,0,6,0,0.6306,30
"GSE1456","GGI",89,15,69,12,7.9,12,0.8,0.6704,30
"GSE1456","MammaPrint",37,15,34,12,7.9,12,0.8,0.6557,30
