"cohort","sig","n_genes","c_harrell","env_harrell","env_harrell_frac","c_uno","env_uno","env_uno_frac"
"SCANB","CorePAM",24,0.6966,1,0.0417,0.6881,1,0.0417
"SCANB","OncotypeDX",15,0.5671,3,0.2,0.6073,3,0.2
"SCANB","GGI",85,0.6097,82,0.9647,0.6238,78,0.9176
"SCANB","MammaPrint",39,0.6238,27,0.6923,0.6389,20,0.5128
"TCGA_BRCA","CorePAM",23,0.6238,7,0.3043,0.5211,3,0.1304
"TCGA_BRCA","OncotypeDX",13,0.5436,3,0.2308,0.5358,0,0
"TCGA_BRCA","GGI",82,0.5647,79,0.9634,0.5092,75,0.9146
"TCGA_BRCA","MammaPrint",36,0.584,22,0.6111,0.5149,19,0.5278
"METABRIC","CorePAM",24,0.5927,1,0.0417,0.5682,8,0.3333
"METABRIC","OncotypeDX",15,0.5834,1,0.0667,0.5562,2,0.1333
"METABRIC","GGI",85,0.5942,78,0.9176,0.5602,78,0.9176
"METABRIC","MammaPrint",39,0.5898,36,0.9231,0.5581,36,0.9231
"GSE20685","CorePAM",24,0.6263,1,0.0417,0.5993,3,0.125
"GSE20685","OncotypeDX",15,0.6293,0,0,0.5807,7,0.4667
"GSE20685","GGI",85,0.6144,75,0.8824,0.5957,79,0.9294
"GSE20685","MammaPrint",39,0.6353,17,0.4359,0.5787,2,0.0513
"GSE1456","CorePAM",21,0.6613,0,0,0.6565,0,0
"GSE1456","OncotypeDX",15,0.6898,0,0,0.6832,1,0.0667
"GSE1456","GGI",89,0.6706,69,0.7753,0.6697,68,0.764
"GSE1456","MammaPrint",37,0.6738,34,0.9189,0.6695,34,0.9189
