"signature","gene","cohorts_evaluated","cohorts_crossing_002","mean_c_drop","max_c_drop"
"CorePAM","NAT1",6,3,0.0188,0.0437
"CorePAM","EXO1",6,2,0.0175,0.0394
"CorePAM","PTTG1",6,0,0.0058,0.0186
"CorePAM","BLVRA",6,0,0.0049,0.0151
"CorePAM","MIA",5,0,0.0046,0.0149
"CorePAM","SFRP1",6,0,0.006,0.0128
"CorePAM","FOXC1",6,0,0.0016,0.01
"CorePAM","ACTR3B",6,0,0.0044,0.0097
"CorePAM","MYBL2",6,0,-0.0023,0.009
"CorePAM","PHGDH",6,0,0.0011,0.0063
"CorePAM","MYC",6,0,9e-04,0.0063
"CorePAM","PGR",6,0,0.0022,0.0053
"CorePAM","GPR160",4,0,2e-04,0.0045
"CorePAM","ESR1",6,0,-6e-04,0.0028
"CorePAM","CENPF",6,0,6e-04,0.0028
"CorePAM","MDM2",6,0,-0.0032,0.0027
"CorePAM","BCL2",6,0,0.001,0.0025
"CorePAM","KRT5",6,0,0,0.0019
"CorePAM","CXXC5",4,0,3e-04,0.0012
"CorePAM","KRT17",4,0,2e-04,9e-04
"CorePAM","MLPH",6,0,0,9e-04
"CorePAM","FGFR4",6,0,1e-04,8e-04
"CorePAM","ERBB2",6,0,-1e-04,7e-04
"CorePAM","GRB7",6,0,-3e-04,2e-04
"GGI","SIRT3",6,0,3e-04,0.0019
"GGI","TTK",6,0,2e-04,0.0013
"GGI","MELK",6,0,-1e-04,0.0013
"GGI","MCM4",6,0,1e-04,0.0013
"GGI","BBS1",6,0,4e-04,0.0013
"GGI","MCM2",6,0,-1e-04,0.0012
"GGI","HMGB3",6,0,3e-04,0.0012
"GGI","GTSE1",6,0,1e-04,0.0012
"GGI","POLQ",6,0,1e-04,0.0012
"GGI","CYBRD1",6,0,2e-04,0.0012
"GGI","KPNA2",6,0,1e-04,0.0011
"GGI","KIF2C",6,0,1e-04,0.0011
"GGI","GMPS",6,0,2e-04,0.0011
"GGI","CENPN",6,0,2e-04,0.0011
"GGI","CX3CR1",6,0,2e-04,0.0011
"GGI","MARS",1,0,0.0011,0.0011
"GGI","C20orf24",1,0,0.0011,0.0011
"GGI","SHMT2",6,0,4e-04,0.001
"GGI","MYBL2",6,0,-1e-04,9e-04
"GGI","CCNB2",6,0,1e-04,9e-04
"GGI","TROAP",6,0,1e-04,9e-04
"GGI","BLM",6,0,-1e-04,9e-04
"GGI","CCT5",6,0,3e-04,9e-04
"GGI","RRM2",6,0,0,9e-04
"GGI","ORMDL2",6,0,0,9e-04
"GGI","CDCA3",6,0,2e-04,9e-04
"GGI","FAM64A",2,0,3e-04,9e-04
"GGI","SESN1",6,0,0,8e-04
"GGI","C11orf63",2,0,5e-04,8e-04
"GGI","SLC7A5",6,0,3e-04,7e-04
"GGI","CDC20",6,0,1e-04,7e-04
"GGI","UBE2C",6,0,0,7e-04
"GGI","MAD2L1",6,0,-1e-04,7e-04
"GGI","EXO1",6,0,-1e-04,7e-04
"GGI","NUDT1",6,0,0,7e-04
"GGI","MKI67",6,0,-1e-04,7e-04
"GGI","IFT88",6,0,2e-04,7e-04
"GGI","STARD13",6,0,2e-04,7e-04
"GGI","PIGV",6,0,-2e-04,7e-04
"GGI","WDR19",6,0,2e-04,7e-04
"GGI","H2AFZ",2,0,3e-04,7e-04
"GGI","BIRC5",6,0,-3e-04,6e-04
"GGI","PLK1",6,0,1e-04,6e-04
"GGI","CENPF",6,0,1e-04,6e-04
"GGI","PRC1",5,0,-1e-04,6e-04
"GGI","NUSAP1",5,0,-3e-04,6e-04
"GGI","CEP55",6,0,-2e-04,6e-04
"GGI","ASPM",6,0,-1e-04,6e-04
"GGI","UBE2S",6,0,0,5e-04
"GGI","AURKA",6,0,0,5e-04
"GGI","AURKB",6,0,0,5e-04
"GGI","SPAG5",6,0,1e-04,4e-04
"GGI","CDK2",6,0,-1e-04,4e-04
"GGI","CENPA",6,0,-2e-04,4e-04
"GGI","CENPE",6,0,0,4e-04
"GGI","HMMR",6,0,-1e-04,4e-04
"GGI","BUB1",6,0,0,4e-04
"GGI","KIFC1",6,0,-1e-04,4e-04
"GGI","CCNB1",6,0,-2e-04,4e-04
"GGI","CDCA8",6,0,0,4e-04
"GGI","RACGAP1",6,0,1e-04,4e-04
"GGI","TPT1",4,0,1e-04,4e-04
"GGI","TRIP13",6,0,-2e-04,3e-04
"GGI","KIF11",6,0,-3e-04,3e-04
"GGI","ESPL1",6,0,-3e-04,3e-04
"GGI","NCAPH",6,0,-2e-04,3e-04
"GGI","OIP5",6,0,-2e-04,3e-04
"GGI","DONSON",6,0,0,3e-04
"GGI","UBE2N",6,0,-3e-04,2e-04
"GGI","FOXM1",6,0,0,2e-04
"GGI","RNASEH2A",5,0,-3e-04,2e-04
"GGI","TIMELESS",6,0,-4e-04,2e-04
"GGI","PTTG1",6,0,-2e-04,2e-04
"GGI","CDC25A",6,0,-1e-04,2e-04
"GGI","CCNE2",6,0,0,2e-04
"GGI","KIF14",6,0,1e-04,2e-04
"GGI","FRY",6,0,0,2e-04
"GGI","LMNB1",6,0,-5e-04,1e-04
"GGI","CDKN3",6,0,-3e-04,1e-04
"GGI","TPX2",6,0,-1e-04,1e-04
"GGI","KIF4A",6,0,-3e-04,1e-04
"GGI","KIF20A",6,0,-2e-04,1e-04
"GGI","MCM10",6,0,-1e-04,1e-04
"GGI","LAMB2",6,0,-2e-04,1e-04
"GGI","CCNA2",6,0,-4e-04,0
"GGI","BUB1B",6,0,-3e-04,0
"GGI","ZWINT",6,0,-4e-04,0
"GGI","FEN1",6,0,-6e-04,0
"GGI","NCAPG",6,0,-3e-04,0
"GGI","KIF15",6,0,-3e-04,-1e-04
"MammaPrint","GSTM3",6,0,0.0023,0.0064
"MammaPrint","PITRM1",6,0,0.0015,0.0063
"MammaPrint","DTL",6,0,0.0012,0.0058
"MammaPrint","UCHL5",6,0,0,0.0052
"MammaPrint","NMU",5,0,8e-04,0.005
"MammaPrint","RAB6B",6,0,0.0022,0.005
"MammaPrint","PRC1",5,0,0.0012,0.0043
"MammaPrint","SCUBE2",6,0,3e-04,0.0041
"MammaPrint","COL4A2",6,0,0.0018,0.0041
"MammaPrint","GMPS",6,0,0.0012,0.0041
"MammaPrint","NUSAP1",5,0,3e-04,0.0039
"MammaPrint","MTDH",6,0,-6e-04,0.0037
"MammaPrint","CDC42BPA",6,0,0.0014,0.0037
"MammaPrint","GNAZ",6,0,0.001,0.0035
"MammaPrint","CENPA",6,0,2e-04,0.0033
"MammaPrint","RUNDC1",4,0,0.001,0.0032
"MammaPrint","FGF18",6,0,-0.0015,0.003
"MammaPrint","AP2B1",6,0,1e-04,0.003
"MammaPrint","EXT1",6,0,0.0011,0.0029
"MammaPrint","CCNE2",6,0,0,0.0028
"MammaPrint","RFC4",6,0,6e-04,0.0028
"MammaPrint","GPR180",4,0,0.0013,0.0027
"MammaPrint","TGFB3",6,0,1e-04,0.0026
"MammaPrint","IGFBP5",6,0,1e-04,0.0024
"MammaPrint","MELK",6,0,0,0.0022
"MammaPrint","HRASLS",2,0,0.0011,0.0022
"MammaPrint","MCM6",6,0,-9e-04,0.0019
"MammaPrint","ECT2",6,0,-2e-04,0.0019
"MammaPrint","BBC3",5,0,6e-04,0.0017
"MammaPrint","SLC2A3",6,0,2e-04,0.0017
"MammaPrint","RTN4RL1",4,0,8e-04,0.0016
"MammaPrint","STK32B",6,0,-7e-04,0.0016
"MammaPrint","GPR126",1,0,0.0013,0.0013
"MammaPrint","TSPYL5",6,0,-0.0019,0.0011
"MammaPrint","ALDH4A1",6,0,-0.0021,0.001
"MammaPrint","MS4A7",4,0,2e-04,0.001
"MammaPrint","CDCA7",4,0,-4e-04,6e-04
"MammaPrint","MMP9",6,0,-0.0021,6e-04
"MammaPrint","OXCT1",6,0,-8e-04,3e-04
"MammaPrint","DIAPH3",6,0,-0.0012,2e-04
"MammaPrint","DCK",6,0,-0.0025,-8e-04
"MammaPrint","WISP1",2,0,-0.0022,-0.0013
"OncotypeDX","GRB7",6,2,0.0134,0.0406
"OncotypeDX","CCNB1",6,0,0.0081,0.0154
"OncotypeDX","MYBL2",6,0,0.0031,0.0148
"OncotypeDX","MKI67",6,0,0.0046,0.013
"OncotypeDX","BIRC5",6,0,0.0035,0.0127
"OncotypeDX","AURKA",6,0,0.0052,0.0094
"OncotypeDX","GSTM1",5,0,0.0023,0.0057
"OncotypeDX","BAG1",6,0,0.0027,0.0053
"OncotypeDX","CD68",4,0,0.0019,0.0025
"OncotypeDX","MMP11",6,0,5e-04,0.0019
"OncotypeDX","ERBB2",6,0,-3e-04,8e-04
"OncotypeDX","SCUBE2",6,0,-0.0035,-2e-04
"OncotypeDX","ESR1",6,0,-0.0037,-0.0014
"OncotypeDX","PGR",6,0,-0.0071,-0.0038
"OncotypeDX","BCL2",6,0,-0.0066,-0.0046
