"cohort","signature","label","n_genes","n_eff","c_full","envelope"
"SCANB","GGI","GGI (uniform)",85,85,0.6097,82
"SCANB","MammaPrint","70-gene-like (near-uniform)",39,38.7716,0.6238,27
"SCANB","CorePAM","24-gene (concentrated)",24,13.5697,0.6966,1
"SCANB","OncotypeDX","21-gene-like (concentrated)",15,9.9496,0.5671,3
"TCGA_BRCA","GGI","GGI (uniform)",82,82,0.5647,79
"TCGA_BRCA","MammaPrint","70-gene-like (near-uniform)",36,35.7915,0.584,22
"TCGA_BRCA","CorePAM","24-gene (concentrated)",23,12.576,0.6238,7
"TCGA_BRCA","OncotypeDX","21-gene-like (concentrated)",13,8.9352,0.5436,3
"METABRIC","GGI","GGI (uniform)",85,85,0.5942,78
"METABRIC","MammaPrint","70-gene-like (near-uniform)",39,38.7716,0.5898,36
"METABRIC","CorePAM","24-gene (concentrated)",24,13.5697,0.5927,1
"METABRIC","OncotypeDX","21-gene-like (concentrated)",15,9.9496,0.5834,1
"GSE20685","GGI","GGI (uniform)",85,85,0.6144,75
"GSE20685","MammaPrint","70-gene-like (near-uniform)",39,38.7716,0.6353,17
"GSE20685","CorePAM","24-gene (concentrated)",24,13.5697,0.6263,1
"GSE20685","OncotypeDX","21-gene-like (concentrated)",15,9.9496,0.6293,0
"GSE1456","GGI","GGI (uniform)",89,89,0.6706,69
"GSE1456","MammaPrint","70-gene-like (near-uniform)",37,36.7724,0.6738,34
"GSE1456","CorePAM","24-gene (concentrated)",21,12.1054,0.6613,0
"GSE1456","OncotypeDX","21-gene-like (concentrated)",15,9.9496,0.6898,0
"GSE7390","GGI","GGI (uniform)",87,87,0.6181,80
"GSE7390","MammaPrint","70-gene-like (near-uniform)",35,34.7777,0.6115,32
"GSE7390","CorePAM","24-gene (concentrated)",21,12.1054,0.6038,0
"GSE7390","OncotypeDX","21-gene-like (concentrated)",14,9.5352,0.6203,2
