"panel_genes","protected_genes","per_well_failure","prob_any_protected_gene_unmeasured_single","prob_any_protected_gene_unmeasured_duplicate","relative_failure_reduction","additional_wells","analytical_well_increase_percent"
15,1,0.01,0.01,1e-04,0.99,1,6.666667
24,1,0.01,0.01,1e-04,0.99,1,4.166667
15,3,0.01,0.029701,3e-04,0.9899,3,20
24,3,0.01,0.029701,3e-04,0.9899,3,12.5
15,5,0.01,0.04901,5e-04,0.9898,5,33.333333
24,5,0.01,0.04901,5e-04,0.9898,5,20.833333
15,1,0.05,0.05,0.0025,0.95,1,6.666667
24,1,0.05,0.05,0.0025,0.95,1,4.166667
15,3,0.05,0.142625,0.007481,0.947546,3,20
24,3,0.05,0.142625,0.007481,0.947546,3,12.5
15,5,0.05,0.226219,0.012438,0.945019,5,33.333333
24,5,0.05,0.226219,0.012438,0.945019,5,20.833333
15,1,0.1,0.1,0.01,0.9,1,6.666667
24,1,0.1,0.1,0.01,0.9,1,4.166667
15,3,0.1,0.271,0.029701,0.890402,3,20
24,3,0.1,0.271,0.029701,0.890402,3,12.5
15,5,0.1,0.40951,0.04901,0.880321,5,33.333333
24,5,0.1,0.40951,0.04901,0.880321,5,20.833333
