"cohort","signature","gene","absolute_weight","c_full","c_without_gene","c_drop","crosses_002"
"SCANB","GGI","KPNA2",1,0.6097,0.61,-3e-04,FALSE
"SCANB","GGI","SLC7A5",1,0.6097,0.609,7e-04,FALSE
"SCANB","GGI","UBE2N",1,0.6097,0.6095,2e-04,FALSE
"SCANB","GGI","MYBL2",1,0.6097,0.6101,-4e-04,FALSE
"SCANB","GGI","BIRC5",1,0.6097,0.6097,0,FALSE
"SCANB","GGI","MCM2",1,0.6097,0.6096,1e-04,FALSE
"SCANB","GGI","PLK1",1,0.6097,0.6099,-2e-04,FALSE
"SCANB","GGI","FOXM1",1,0.6097,0.6097,0,FALSE
"SCANB","GGI","CCNB2",1,0.6097,0.6098,-1e-04,FALSE
"SCANB","GGI","UBE2S",1,0.6097,0.6096,1e-04,FALSE
"SCANB","GGI","CDC20",1,0.6097,0.61,-2e-04,FALSE
"SCANB","GGI","UBE2C",1,0.6097,0.6098,-1e-04,FALSE
"SCANB","GGI","RNASEH2A",1,0.6097,0.6097,1e-04,FALSE
"SCANB","GGI","TIMELESS",1,0.6097,0.61,-3e-04,FALSE
"SCANB","GGI","SPAG5",1,0.6097,0.6099,-2e-04,FALSE
"SCANB","GGI","LMNB1",1,0.6097,0.6101,-4e-04,FALSE
"SCANB","GGI","MAD2L1",1,0.6097,0.6096,1e-04,FALSE
"SCANB","GGI","CCNA2",1,0.6097,0.6097,0,FALSE
"SCANB","GGI","PTTG1",1,0.6097,0.6096,1e-04,FALSE
"SCANB","GGI","HMGB3",1,0.6097,0.6093,4e-04,FALSE
"SCANB","GGI","BUB1B",1,0.6097,0.6099,-2e-04,FALSE
"SCANB","GGI","ZWINT",1,0.6097,0.6101,-4e-04,FALSE
"SCANB","GGI","TRIP13",1,0.6097,0.6099,-2e-04,FALSE
"SCANB","GGI","AURKA",1,0.6097,0.61,-2e-04,FALSE
"SCANB","GGI","CDK2",1,0.6097,0.6101,-4e-04,FALSE
"SCANB","GGI","GTSE1",1,0.6097,0.6096,1e-04,FALSE
"SCANB","GGI","KIF11",1,0.6097,0.6099,-2e-04,FALSE
"SCANB","GGI","EXO1",1,0.6097,0.6096,1e-04,FALSE
"SCANB","GGI","TROAP",1,0.6097,0.6098,-1e-04,FALSE
"SCANB","GGI","CDC25A",1,0.6097,0.6097,0,FALSE
"SCANB","GGI","NUDT1",1,0.6097,0.6094,3e-04,FALSE
"SCANB","GGI","FEN1",1,0.6097,0.6098,-1e-04,FALSE
"SCANB","GGI","ESPL1",1,0.6097,0.6101,-4e-04,FALSE
"SCANB","GGI","TTK",1,0.6097,0.6096,1e-04,FALSE
"SCANB","GGI","MELK",1,0.6097,0.61,-3e-04,FALSE
"SCANB","GGI","CENPA",1,0.6097,0.6098,-1e-04,FALSE
"SCANB","GGI","CCNE2",1,0.6097,0.6096,1e-04,FALSE
"SCANB","GGI","CENPE",1,0.6097,0.6098,-1e-04,FALSE
"SCANB","GGI","BLM",1,0.6097,0.61,-3e-04,FALSE
"SCANB","GGI","KIF14",1,0.6097,0.6096,1e-04,FALSE
"SCANB","GGI","HMMR",1,0.6097,0.6097,0,FALSE
"SCANB","GGI","CENPF",1,0.6097,0.6099,-1e-04,FALSE
"SCANB","GGI","CCT5",1,0.6097,0.6096,1e-04,FALSE
"SCANB","GGI","KIF2C",1,0.6097,0.6099,-2e-04,FALSE
"SCANB","GGI","AURKB",1,0.6097,0.6097,0,FALSE
"SCANB","GGI","BUB1",1,0.6097,0.6098,-1e-04,FALSE
"SCANB","GGI","KIFC1",1,0.6097,0.6098,-1e-04,FALSE
"SCANB","GGI","CDKN3",1,0.6097,0.6096,1e-04,FALSE
"SCANB","GGI","RRM2",1,0.6097,0.6098,-1e-04,FALSE
"SCANB","GGI","TPX2",1,0.6097,0.61,-2e-04,FALSE
"SCANB","GGI","MKI67",1,0.6097,0.6098,-1e-04,FALSE
"SCANB","GGI","MCM4",1,0.6097,0.6096,1e-04,FALSE
"SCANB","GGI","NCAPH",1,0.6097,0.61,-3e-04,FALSE
"SCANB","GGI","OIP5",1,0.6097,0.6099,-2e-04,FALSE
"SCANB","GGI","SHMT2",1,0.6097,0.609,7e-04,FALSE
"SCANB","GGI","GMPS",1,0.6097,0.6091,6e-04,FALSE
"SCANB","GGI","CCNB1",1,0.6097,0.6098,-1e-04,FALSE
"SCANB","GGI","PRC1",1,0.6097,0.6098,-1e-04,FALSE
"SCANB","GGI","NUSAP1",1,0.6097,0.61,-3e-04,FALSE
"SCANB","GGI","KIF4A",1,0.6097,0.6099,-2e-04,FALSE
"SCANB","GGI","CEP55",1,0.6097,0.6098,-1e-04,FALSE
"SCANB","GGI","ORMDL2",1,0.6097,0.6099,-2e-04,FALSE
"SCANB","GGI","NCAPG",1,0.6097,0.6097,0,FALSE
"SCANB","GGI","KIF20A",1,0.6097,0.6097,0,FALSE
"SCANB","GGI","KIF15",1,0.6097,0.6101,-4e-04,FALSE
"SCANB","GGI","POLQ",1,0.6097,0.61,-3e-04,FALSE
"SCANB","GGI","CENPN",1,0.6097,0.6093,4e-04,FALSE
"SCANB","GGI","ASPM",1,0.6097,0.6098,-1e-04,FALSE
"SCANB","GGI","MCM10",1,0.6097,0.6096,1e-04,FALSE
"SCANB","GGI","CDCA3",1,0.6097,0.6099,-2e-04,FALSE
"SCANB","GGI","CDCA8",1,0.6097,0.61,-3e-04,FALSE
"SCANB","GGI","DONSON",1,0.6097,0.6098,-1e-04,FALSE
"SCANB","GGI","RACGAP1",1,0.6097,0.6098,-1e-04,FALSE
"SCANB","GGI","FRY",1,0.6097,0.6095,2e-04,FALSE
"SCANB","GGI","IFT88",1,0.6097,0.609,7e-04,FALSE
"SCANB","GGI","CX3CR1",1,0.6097,0.6097,0,FALSE
