"cohort","signature","target_genes","draws_attempted","draws_valid","median_envelope","p10","p90"
"SCANB","GGI",24,30,30,21,20,21
"SCANB","GGI",24,100,100,21,20,21
"SCANB","GGI",24,500,500,21,20,21
"SCANB","GGI",24,1000,1000,21,20,21
"SCANB","GGI",15,30,30,12,10,12
"SCANB","GGI",15,100,100,12,11,12
"SCANB","GGI",15,500,500,12,12,12
"SCANB","GGI",15,1000,1000,12,12,12
"SCANB","MammaPrint",24,30,30,15.5,13,18
"SCANB","MammaPrint",24,100,100,15,12,19
"SCANB","MammaPrint",24,500,499,15,12,20
"SCANB","MammaPrint",24,1000,995,15,12,20
"SCANB","MammaPrint",15,30,30,9,6,12
"SCANB","MammaPrint",15,100,100,9,6,12
"SCANB","MammaPrint",15,500,500,9,6,12
"SCANB","MammaPrint",15,1000,1000,9,6,12
"SCANB","CorePAM",15,30,30,0.5,0,2
"SCANB","CorePAM",15,100,100,0,0,3
"SCANB","CorePAM",15,500,500,0,0,3
"SCANB","CorePAM",15,1000,1000,0,0,3
"TCGA_BRCA","GGI",24,30,30,21,20,21
"TCGA_BRCA","GGI",24,100,100,21,19,21
"TCGA_BRCA","GGI",24,500,499,21,19,21
"TCGA_BRCA","GGI",24,1000,999,21,19,21
"TCGA_BRCA","GGI",15,30,30,12,11,12
"TCGA_BRCA","GGI",15,100,99,12,11,12
"TCGA_BRCA","GGI",15,500,499,12,11,12
"TCGA_BRCA","GGI",15,1000,999,12,11,12
"TCGA_BRCA","MammaPrint",24,30,30,15.5,12,21
"TCGA_BRCA","MammaPrint",24,100,100,15,11,21
"TCGA_BRCA","MammaPrint",24,500,500,15,11,21
"TCGA_BRCA","MammaPrint",24,1000,1000,15,11,21
"TCGA_BRCA","MammaPrint",15,30,30,9,7,12
"TCGA_BRCA","MammaPrint",15,100,100,9,7,12
"TCGA_BRCA","MammaPrint",15,500,500,9,6,12
"TCGA_BRCA","MammaPrint",15,1000,1000,9,6,12
"TCGA_BRCA","CorePAM",15,30,30,4,0,8
"TCGA_BRCA","CorePAM",15,100,100,4,0,9
"TCGA_BRCA","CorePAM",15,500,500,3,0,9
"TCGA_BRCA","CorePAM",15,1000,1000,3,0,9
"METABRIC","GGI",24,30,30,21,20,21
"METABRIC","GGI",24,100,100,21,20,21
"METABRIC","GGI",24,500,500,21,20,21
"METABRIC","GGI",24,1000,999,21,20,21
"METABRIC","GGI",15,30,30,12,11,12
"METABRIC","GGI",15,100,100,12,11,12
