"cohort","signature","target_genes","n_draws_attempted","n_draws_valid","n_draws_nonestimable","median_envelope","p10","p90","mean_envelope","sd_envelope","ceiling_fraction"
"SCANB","GGI",24,1000,1000,0,21,20,21,20.711,0.88,0.858
"SCANB","GGI",15,1000,1000,0,12,12,12,11.834,0.615,0.913
"SCANB","MammaPrint",24,1000,995,5,15,12,20,15.58,2.959,0.08
"SCANB","MammaPrint",15,1000,1000,0,9,6,12,8.998,2.154,0.173
"SCANB","CorePAM",15,1000,1000,0,0,0,3,0.965,1.451,0.002
"TCGA_BRCA","GGI",24,1000,999,1,21,19,21,20.586,1.215,0.834
"TCGA_BRCA","GGI",15,1000,999,1,12,11,12,11.72,0.818,0.862
"TCGA_BRCA","MammaPrint",24,1000,1000,0,15,11,21,16.023,3.926,0.259
"TCGA_BRCA","MammaPrint",15,1000,1000,0,9,6,12,9.316,2.4,0.338
"TCGA_BRCA","CorePAM",15,1000,1000,0,3,0,9,3.492,3.396,0.035
"METABRIC","GGI",24,1000,999,1,21,20,21,20.678,0.821,0.82
"METABRIC","GGI",15,1000,1000,0,12,11,12,11.811,0.565,0.874
"METABRIC","MammaPrint",24,1000,999,1,21,21,21,20.648,1.295,0.913
"METABRIC","MammaPrint",15,1000,1000,0,12,10,12,11.48,1.225,0.801
"METABRIC","CorePAM",15,1000,1000,0,1,0,6,1.943,3.018,0.03
"GSE20685","GGI",24,1000,1000,0,21,17,21,19.903,1.855,0.62
"GSE20685","GGI",15,1000,1000,0,12,9,12,11.059,1.655,0.65
"GSE20685","MammaPrint",24,1000,1000,0,11.5,9,16,12.047,2.739,0.017
"GSE20685","MammaPrint",15,1000,1000,0,7,5,11,7.572,2.414,0.099
"GSE20685","CorePAM",15,1000,1000,0,0,0,3,0.96,1.913,0.011
"GSE1456","GGI",24,1000,1000,0,20,14,21,18.717,2.898,0.435
"GSE1456","GGI",15,1000,1000,0,12,7,12,10.472,2.049,0.512
"GSE1456","MammaPrint",24,1000,1000,0,21,20,21,20.301,2.234,0.883
"GSE1456","MammaPrint",15,1000,1000,0,12,8,12,10.871,2.393,0.741
"GSE1456","CorePAM",15,1000,1000,0,0,0,1,0.442,1.564,0.002
"GSE7390","GGI",24,1000,1000,0,21,18,21,20.051,1.648,0.623
"GSE7390","MammaPrint",24,1000,1000,0,21,18,21,20.01,1.754,0.649
