"cohort","signature","submitted_c_full","submitted_envelope","c_full","envelope","c_difference","envelope_difference","matches_submitted"
"GSE1456","CorePAM",0.6613,0,0.6613,0,0,0,TRUE
"GSE1456","GGI",0.6706,69,0.6706,69,0,0,TRUE
"GSE1456","MammaPrint",0.6738,34,0.6738,34,0,0,TRUE
"GSE1456","OncotypeDX",0.6898,0,0.6898,0,0,0,TRUE
"GSE20685","CorePAM",0.6263,1,0.6263,1,0,0,TRUE
"GSE20685","GGI",0.6144,75,0.6144,75,0,0,TRUE
"GSE20685","MammaPrint",0.6353,17,0.6353,17,0,0,TRUE
"GSE20685","OncotypeDX",0.6293,0,0.6293,0,0,0,TRUE
"GSE7390","CorePAM",0.6038,0,0.6038,0,0,0,TRUE
"GSE7390","GGI",0.6181,80,0.6181,80,0,0,TRUE
"GSE7390","MammaPrint",0.6115,32,0.6115,32,0,0,TRUE
"GSE7390","OncotypeDX",0.6203,2,0.6203,2,0,0,TRUE
"METABRIC","CorePAM",0.5927,1,0.5927,1,0,0,TRUE
"METABRIC","GGI",0.5942,78,0.5942,78,0,0,TRUE
"METABRIC","MammaPrint",0.5898,36,0.5898,36,0,0,TRUE
"METABRIC","OncotypeDX",0.5834,1,0.5834,1,0,0,TRUE
"SCANB","CorePAM",0.6966,1,0.6966,1,0,0,TRUE
"SCANB","GGI",0.6097,82,0.6097,82,0,0,TRUE
"SCANB","MammaPrint",0.6238,27,0.6238,27,0,0,TRUE
"SCANB","OncotypeDX",0.5671,3,0.5671,3,0,0,TRUE
"TCGA_BRCA","CorePAM",0.6238,7,0.6238,7,0,0,TRUE
"TCGA_BRCA","GGI",0.5647,79,0.5647,79,0,0,TRUE
"TCGA_BRCA","MammaPrint",0.584,22,0.584,22,0,0,TRUE
"TCGA_BRCA","OncotypeDX",0.5436,3,0.5436,3,0,0,TRUE
